Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKow,logKow_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference,Plasma_Conc_0,Plasma_Conc_10,Plasma_Conc_50,Plasma_Conc_90,logKlipw,logDlipw,IC10_Baseline,AC10,AC10_Top,AC10_HillSlope,AC50,Endpoint_effect,IC10,IC10_Top,IC10_HillSlope,IC50,Endpoint_cytotox,SR,TR
S-Ethyl chlorothioformic acid,2941-64-2,124.58,U.S. EPA CompTox Dashboard,3.05E-07,Wambaugh 2014,0.52,OPERA (0.39),2.28,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,3.00E-09,2.00E-08,1.08E-07,2.0592,2.0592,2.857044624,2.857044624,100,1,3.811287133,Baseline,2.857044624,100,1,3.811287133,Baseline,1,1
Etiron,2986-20-1,104.17,U.S. EPA CompTox Dashboard,8.16E-07,U.S. EPA CompTox Dashboard,0.78,OPERA (0.37),1.53,OPERA (0.46),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.26,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,4.10E-08,3.84E-07,1.39E-06,0.3826,-0.6174,5.549576731,5.549576731,100,1,6.50381924,Baseline,5.549576731,100,1,6.50381924,Baseline,1,1
4-Amino-2-(ethylsulfanyl)pyrimidine-5-carbonitrile,16462-29-6,180.23,U.S. EPA CompTox Dashboard,1.69E-07,U.S. EPA CompTox Dashboard,0.62,OPERA (0.4),0,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.69,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.96E-07,3.26E-07,5.06E-07,2.8369,2.8369,2.344442172,2.344442172,100,1,3.298684681,Baseline,2.344442172,100,1,3.298684681,Baseline,1,1
Diethyl sulfide,352-93-2,90.18,U.S. EPA CompTox Dashboard,1.32E-07,Wambaugh 2014,0.81,OPERA (0.7),0.95,OPERA (0.71),None,Sipes 2017,None,Sipes 2017,1.95,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,5.00E-09,4.30E-08,1.95E-07,2.0895,2.0895,2.835262283,2.835262283,100,1,3.789504792,Baseline,2.835262283,100,1,3.789504792,Baseline,1,1
3-Ethylthiopropionate,7244-82-8,134.19,U.S. EPA CompTox Dashboard,4.77E-06,U.S. EPA CompTox Dashboard,0.49,OPERA (0.46),3.97,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.11,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,4.10E-08,3.43E-07,1.83E-06,1.2411,0.2411,4.49510389,4.49510389,100,1,5.449346399,Baseline,4.49510389,100,1,5.449346399,Baseline,1,1
2-Chloroethyl ethyl sulfide,693-07-2,124.63,U.S. EPA CompTox Dashboard,1.99E-07,Wambaugh 2014,0.5,OPERA (0.5),0.71,OPERA (0.69),None,Sipes 2017,None,Sipes 2017,1.96,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,6.00E-09,3.60E-08,1.69E-07,2.0996,2.0996,2.828036047,2.828036047,100,1,3.782278557,Baseline,2.828036047,100,1,3.782278557,Baseline,1,1
Demeton-S-methyl,919-86-8,230.28,U.S. EPA CompTox Dashboard,2.40E-07,U.S. EPA CompTox Dashboard,0.55,OPERA (0.31),110.46,OPERA (0.42),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.32,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,0,2.00E-09,1.4532,1.4532,3.32705992,3.32705992,100,1,4.28130243,Baseline,3.32705992,100,1,4.28130243,Baseline,1,1
Diethyl disulphide,110-81-6,122.24,U.S. EPA CompTox Dashboard,2.10E-05,U.S. EPA CompTox Dashboard,0.23,OPERA (0.52),0.68,OPERA (0.67),1.88,ACD/Labs GALAS,4.79,ACD/Labs GALAS,2.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,2.10E-08,1.46E-07,8.17E-07,2.9783,2.9783,2.260934215,2.260934215,100,1,3.215176725,Baseline,2.260934215,100,1,3.215176725,Baseline,1,1
Methyl iodide,74-88-4,141.939,U.S. EPA CompTox Dashboard,1.43E-06,U.S. EPA CompTox Dashboard,0.67,OPERA (0.64),7,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.81,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,5.00E-09,4.70E-08,2.64E-07,1.9481,1.9481,2.938259165,2.938259165,100,1,3.892501674,Baseline,2.938259165,100,1,3.892501674,Baseline,1,1
Thiamine hydrochloride,3/8/1967,337.26,U.S. EPA CompTox Dashboard,1.90E-06,Wambaugh 2014,0.08,OPERA (0.86),7.67,OPERA (0.6),  5.00; -1.75; -3.53,Sipes 2017,None,Sipes 2017,-2.68,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,4.00E-09,-2.5868,-3.5868,11.38724171,11.38724171,100,1,12.34148422,Baseline,11.38724171,100,1,12.34148422,Baseline,1,1
(+)-Tubocurarine chloride hydrochloride,57-94-3,681.65,U.S. EPA CompTox Dashboard,9.23E-08,Wambaugh 2014,0.58,Lombardo 2018,14.97,OPERA (0.48),8.05,Strope 2018,"8.59,9.16",Strope 2018,0.17,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,3.00E-09,0.2917,-0.7083,5.674251456,5.674251456,100,1,6.628493965,Baseline,5.674251456,100,1,6.628493965,Baseline,1,1
Demeclocycline hydrochloride,64-73-3,501.31,U.S. EPA CompTox Dashboard,3.43E-07,Wambaugh 2014,0.56,OPERA (0.93),0,OPERA (0.71),None,Sipes 2017, 10.94;  7.23;  3.24,Sipes 2017,-1.07,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.53E-07,2.59E-07,4.14E-07,-0.9607,-1.9607,7.694332051,7.694332051,100,1,8.648574561,Baseline,7.694332051,100,1,8.648574561,Baseline,1,1
Tolazoline hydrochloride,59-97-2,196.68,U.S. EPA CompTox Dashboard,1.42E-07,Wambaugh 2014,0.77,OPERA (0.98),0,OPERA (0.53), 10.64; -3.14,Sipes 2017,None,Sipes 2017,2.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.05E-07,3.66E-07,6.01E-07,2.1501,1.1501,3.588598797,3.588598797,100,1,4.542841306,Baseline,3.588598797,100,1,4.542841306,Baseline,1,1
Naphazoline hydrochloride,550-99-2,246.74,U.S. EPA CompTox Dashboard,2.18E-07,Wambaugh 2014,0.44,OPERA (0.45),7.65,OPERA (0.58), 10.46; -2.99,Sipes 2017,None,Sipes 2017,3.29,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,7.00E-09,4.80E-08,3.4429,2.4429,2.592383243,2.592383243,100,1,3.546625752,Baseline,2.592383243,100,1,3.546625752,Baseline,1,1
(+)-Deprenyl hydrochloride,4528-52-3,223.74,U.S. EPA CompTox Dashboard,4.27E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.96),3.2,OPERA (0.66),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.77,ACD/Labs GALAS,0,0,1.00E-09,8.00E-09,3.0288,2.928073187,2.290278541,2.290278541,100,1,3.24452105,Baseline,2.290278541,100,1,3.24452105,Baseline,1,1
Phenylpropanolamine hydrochloride,154-41-6,187.67,U.S. EPA CompTox Dashboard,2.02E-08,Wambaugh 2014,0.76,OPERA (0.58),5.8,OPERA (0.49),9.32,Sipes 2017,None,Sipes 2017,0.73,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.02,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,0.8573,-0.070817993,4.853761848,4.853761848,100,1,5.808004358,Baseline,4.853761848,100,1,5.808004358,Baseline,1,1
(R)-(+)-Cathinone hydrochloride,76333-53-4,185.65,U.S. EPA CompTox Dashboard,1.35E-07,Wambaugh 2014,0.76,OPERA (0.61),4.93,OPERA (0.49),8.14,Sipes 2017,None,Sipes 2017,1.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.17,ACD/Labs GALAS,0,1.00E-09,1.10E-08,4.90E-08,1.1401,0.543220521,4.17199662,4.17199662,100,1,5.126239129,Baseline,4.17199662,100,1,5.126239129,Baseline,1,1
Doxycycline hydrochloride,10592-13-9,480.9,U.S. EPA CompTox Dashboard,3.54E-07,Wambaugh 2014,0.12,OPERA (0.89),0,OPERA (0.7),9.13,Sipes 2017, 11.00;  9.98;  7.64;  3.35,Sipes 2017,-0.54,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.35E-07,2.21E-07,3.40E-07,-0.4254,-1.4254,6.757458434,6.757458434,100,1,7.711700943,Baseline,6.757458434,100,1,7.711700943,Baseline,1,1
(-)- (S)-Cathinone hydrochloride,72739-14-1,185.65,U.S. EPA CompTox Dashboard,1.18E-07,Wambaugh 2014,0.76,OPERA (0.61),4.93,OPERA (0.49),8.14,Sipes 2017,None,Sipes 2017,1.01,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.17,ACD/Labs GALAS,0,1.00E-09,1.00E-08,4.30E-08,1.1401,0.543220521,4.17199662,4.17199662,100,1,5.126239129,Baseline,4.17199662,100,1,5.126239129,Baseline,1,1
cis-Nanophine hydrochloride,5072-45-7,149.66,U.S. EPA CompTox Dashboard,9.90E-08,Wambaugh 2014,0.65,OPERA (0.49),6.25,OPERA (0.36),11.03,Sipes 2017,None,Sipes 2017,1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,3.00E-09,1.50E-08,2.0592,1.0592,3.670751368,3.670751368,100,1,4.624993877,Baseline,3.670751368,100,1,4.624993877,Baseline,1,1
Kasugamycin hydrochloride,19408-46-9,415.82,U.S. EPA CompTox Dashboard,1.43E-07,Wambaugh 2014,0.8,OPERA (0.35),0,OPERA (0.48),  8.54;  7.24; -2.17,Sipes 2017,1.34,Sipes 2017,-2.42,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,7.90E-08,1.36E-07,2.15E-07,-2.3242,-3.3242,10.6909377,10.6909377,100,1,11.64518021,Baseline,10.6909377,100,1,11.64518021,Baseline,1,1
Carnitine hydrochloride,461-05-2,197.66,U.S. EPA CompTox Dashboard,1.57E-07,Wambaugh 2014,1,OPERA (0.91),4.61,OPERA (0.4),None,Sipes 2017,3.94,Sipes 2017,-4.52,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,2.00E-09,1.20E-08,4.50E-08,-4.4452,-5.4452,17.76610703,17.76610703,100,1,18.72034954,Baseline,17.76610703,100,1,18.72034954,Baseline,1,1
Pyridine hydrochloride,628-13-7,115.56,U.S. EPA CompTox Dashboard,7.34E-08,Wambaugh 2014,0.51,OPERA (0.69),53.67,OPERA (0.39),5.42,Sipes 2017,None,Sipes 2017,0.65,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS,0,0,1.00E-09,3.00E-09,0.7765,0.772573654,3.941642539,3.941642539,100,1,4.895885048,Baseline,3.941642539,100,1,4.895885048,Baseline,1,1
Levamisole hydrochloride,16595-80-5,240.75,U.S. EPA CompTox Dashboard,1.30E-07,Wambaugh 2014,0.77,OPERA (0.92),5.87,OPERA (0.58),  7.32; -3.51,Sipes 2017,None,Sipes 2017,2.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.2,ACD/Labs GALAS,0,0,3.00E-09,1.80E-08,2.2915,1.738658031,3.097275577,3.097275577,100,1,4.051518086,Baseline,3.097275577,100,1,4.051518086,Baseline,1,1
Acetyl-L-carnitine hydrochloride,5080-50-2,239.7,U.S. EPA CompTox Dashboard,1.81E-07,Wambaugh 2014,0.91,OPERA (0.6),0,OPERA (0.2),None,Sipes 2017,3.93,Sipes 2017,-4.15,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.76E-07,3.02E-07,4.74E-07,-4.0715,-5.0715,16.24947958,16.24947958,100,1,17.20372209,Baseline,16.24947958,100,1,17.20372209,Baseline,1,1
Mabuterol hydrochloride,54240-36-7,347.2,U.S. EPA CompTox Dashboard,2.23E-07,Wambaugh 2014,0.38,OPERA (0.52),7.69,OPERA (0.34),  9.17;  0.39,Sipes 2017,None,Sipes 2017,2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,2.00E-09,1.70E-08,3.0187,2.056126498,2.859262845,0.356488204,72.49354608,0.724479486,1.702793229,TOX21_AhR_LUC_Agonist_viability|TOX21_SSH_3T3_GLI3_Antagonist_viability,0.356488204,72.49354608,0.724479486,1.702793229,TOX21_AhR_LUC_Agonist_viability|TOX21_SSH_3T3_GLI3_Antagonist_viability,1,318.2545646
Valacyclovir hydrochloride,124832-27-5,360.8,U.S. EPA CompTox Dashboard,2.44E-07,Wambaugh 2014,0.82,OPERA (0.99),2.22,OPERA (0.61),  7.42;  2.34;  0.89; -0.51,Sipes 2017,9.88,Sipes 2017,-0.98,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.37,ACD/Labs GALAS,0,3.00E-09,2.50E-08,9.00E-08,-0.8698,-1.233312104,6.44909993,6.44909993,100,1,7.403342439,Baseline,6.44909993,100,1,7.403342439,Baseline,1,1
Proguanil hydrochloride,637-32-1,290.19,U.S. EPA CompTox Dashboard,2.21E-07,Wambaugh 2014,0.15,OPERA (0.9),3.09,OPERA (0.53), 10.03;  6.64; -3.53; -4.47; -5.19,Sipes 2017,None,Sipes 2017,2.36,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,2.5036,1.5036,3.285356171,0.129538201,44.67465528,1.356397571,0.888105439,TOX21_CASP3_CHO_viability|TOX21_PPARd_BLA_antagonist_viability|TOX21_RT_HEPG2_FLO_16hr_ctrl_viability,0.129538201,44.67465528,1.356397571,0.888105439,TOX21_CASP3_CHO_viability|TOX21_PPARd_BLA_antagonist_viability|TOX21_RT_HEPG2_FLO_16hr_ctrl_viability,1,1431.587738
Clorprenaline hydrochloride,6933-90-0,250.16,U.S. EPA CompTox Dashboard,1.76E-07,Wambaugh 2014,0.5,OPERA (0.42),7.43,OPERA (0.54),9.04,Sipes 2017,None,Sipes 2017,2.18,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,2.3218,1.359226498,3.406156005,3.406156005,100,1,4.360398515,Baseline,3.406156005,100,1,4.360398515,Baseline,1,1
Isoproterenol hydrochloride,51-30-9,247.72,U.S. EPA CompTox Dashboard,1.84E-07,Wambaugh 2014,0.631,Wambaugh 2019,0.996,Wambaugh 2019,8.96,Wambaugh 2019,"9.81,12.65,14.38",Wambaugh 2019,-0.02,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.03,ACD/Labs GALAS,0,1.73E-07,2.94E-07,4.72E-07,0.0998,-0.796396279,5.797659813,0.150030435,100,1,1.687156256,NVS_GPCR_rAdrb_NonSelective|NVS_TR_hDAT|BURST_DURATION_AVG_ (SEC)|NUMBER_OF_SPIKES_PER_NETWORK_BURST_ STD|NETWORK_BURST_PERCENTAGE,1.6432256,0.931614921,7.04218659,1.778729324,APR_HepG2_CellLoss_72h_dn,31.13115008,14270.33647
Sotalol hydrochloride,959-24-0,308.82,U.S. EPA CompTox Dashboard,2.02E-07,Wambaugh 2014,0.67,OPERA (0.96),0,OPERA (0.71),9.68,Sipes 2017,8.24,Sipes 2017,0.29,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,1.55E-07,2.64E-07,4.27E-07,0.4129,-0.549673502,5.458409166,5.458409166,100,1,6.412651675,Baseline,5.458409166,100,1,6.412651675,Baseline,1,1
Ractopamine hydrochloride,90274-24-1,337.84,U.S. EPA CompTox Dashboard,2.29E-07,Wambaugh 2014,0.67,OPERA (0.58),6.51,OPERA (0.54),8.8,Sipes 2017, 10.57;  9.95,Sipes 2017,1.75,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.03,ACD/Labs GALAS,0,0,4.00E-09,2.10E-08,1.8875,0.991303721,3.733274016,3.733274016,100,1,4.687516525,Baseline,3.733274016,100,1,4.687516525,Baseline,1,1
Safrazine hydrochloride,7296-30-2,244.72,U.S. EPA CompTox Dashboard,1.76E-07,Wambaugh 2014,0.35,OPERA (0.66),62.12,OPERA (0.58),  7.81; -2.08,Sipes 2017,None,Sipes 2017,1.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.27,ACD/Labs GALAS,0,0,0,2.00E-09,1.7158,1.25109412,3.499366644,3.499366644,100,1,4.453609154,Baseline,3.499366644,100,1,4.453609154,Baseline,1,1
2-Chloropropyldimethylamine hydrochloride,4584-49-0,158.07,U.S. EPA CompTox Dashboard,2.06E-06,U.S. EPA CompTox Dashboard,0.79,OPERA (0.58),12.5,OPERA (0.49),8.23,Sipes 2017,None,Sipes 2017,0.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.17,ACD/Labs GALAS,0,8.00E-09,8.80E-08,4.01E-07,0.9583,0.361420521,4.363658466,1.201609773,1.434976296,3.757116401,1.472868984,BSK_SAg_PBMCCytotoxicity_down|BSK_SAg_Proliferation_down,1.201609773,1.434976296,3.757116401,1.472868984,BSK_SAg_PBMCCytotoxicity_down|BSK_SAg_Proliferation_down,1,1452.274438
Tenamfetamine hydrochloride,6292-91-7,215.68,U.S. EPA CompTox Dashboard,1.46E-07,Wambaugh 2014,0.65,OPERA (0.58),7.17,OPERA (0.54),9.7,Sipes 2017,None,Sipes 2017,1.64,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,4.00E-09,2.20E-08,1.7764,0.813826498,3.901516513,3.901516513,100,1,4.855759023,Baseline,3.901516513,100,1,4.855759023,Baseline,1,1
Heptaminol hydrochloride,543-15-7,181.7,U.S. EPA CompTox Dashboard,1.23E-07,Wambaugh 2014,0.81,OPERA (0.5),3.83,OPERA (0.39),10.44,Sipes 2017,None,Sipes 2017,1.01,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.00E-09,1.40E-08,6.10E-08,1.1401,0.1401,4.60836082,4.60836082,100,1,5.562603329,Baseline,4.60836082,100,1,5.562603329,Baseline,1,1
Cycloguanil hydrochloride,152-53-4,288.18,U.S. EPA CompTox Dashboard,2.04E-07,Wambaugh 2014,0.63,OPERA (0.36),0,OPERA (0.47), 10.54;  1.12; -3.44; -3.44; -3.17,Sipes 2017,None,Sipes 2017,0.95,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS,0,1.72E-07,2.97E-07,4.80E-07,1.0795,0.0795,4.677622166,0.218580616,74.95402928,1.711981176,0.87104079,TOX21_p53_BLA_p2_viability|TOX21_p53_BLA_p4_viability,0.218580616,74.95402928,1.711981176,0.87104079,TOX21_p53_BLA_p2_viability|TOX21_p53_BLA_p4_viability,1,28776.73718
Rimonabant hydrochloride,158681-13-1,500.25,U.S. EPA CompTox Dashboard,1.35E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.99),0,OPERA (0.44),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,5.45,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS,0,4.90E-08,8.10E-08,1.24E-07,5.6245,5.6245,1.117897732,1.117897732,100,1,2.072140242,Baseline,1.117897732,100,1,2.072140242,Baseline,1,1
Xylometazoline hydrochloride,1218-35-5,280.84,U.S. EPA CompTox Dashboard,3.27E-08,Wambaugh 2014,0.32,OPERA (0.45),6.97,OPERA (0.52), 10.86; -3.14,Sipes 2017,None,Sipes 2017,4.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,4.7256,3.7256,1.863035084,1.863035084,100,1,2.817277593,Baseline,1.863035084,100,1,2.817277593,Baseline,1,1
3-Methylaniline hydrochloride,638-03-9,143.61,U.S. EPA CompTox Dashboard,1.02E-07,Wambaugh 2014,0.55,OPERA (0.97),32.87,OPERA (0.96),4.58,Sipes 2017,None,Sipes 2017,1.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,1.00E-09,5.00E-09,1.534,1.534,3.260440317,3.260440317,100,1,4.214682826,Baseline,3.260440317,100,1,4.214682826,Baseline,1,1
"2,4-Dimethylaniline hydrochloride",21436-96-4,157.64,U.S. EPA CompTox Dashboard,1.16E-07,Wambaugh 2014,0.46,OPERA (0.64),26.08,OPERA (0.66),4.29,Sipes 2017,None,Sipes 2017,1.86,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,1.00E-09,3.00E-09,1.9986,1.9986,2.901079387,2.901079387,100,1,3.855321896,Baseline,2.901079387,100,1,3.855321896,Baseline,1,1
4-Methylaniline hydrochloride,540-23-8,143.61,U.S. EPA CompTox Dashboard,1.01E-07,Wambaugh 2014,0.42,OPERA (0.96),26.09,OPERA (0.61),4.55,Sipes 2017,None,Sipes 2017,1.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,1.00E-09,4.00E-09,1.534,1.534,3.260440317,3.260440317,100,1,4.214682826,Baseline,3.260440317,100,1,4.214682826,Baseline,1,1
Xylazine hydrochloride,23076-35-9,256.79,U.S. EPA CompTox Dashboard,8.36E-07,U.S. EPA CompTox Dashboard,0.65,OPERA (0.56),7.57,OPERA (0.57),3.3,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.06,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.03,ACD/Labs GALAS,0,1.00E-09,8.00E-09,4.30E-08,2.2006,1.304403721,3.453116219,3.453116219,100,1,4.407358728,Baseline,3.453116219,100,1,4.407358728,Baseline,1,1
2-Methylaniline hydrochloride,636-21-5,143.61,U.S. EPA CompTox Dashboard,1.07E-07,Wambaugh 2014,0.71,OPERA (0.92),0,OPERA (0.76),4.26,Sipes 2017,None,Sipes 2017,1.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.84E-07,3.16E-07,5.18E-07,1.534,1.534,3.260440317,3.260440317,100,1,4.214682826,Baseline,3.260440317,100,1,4.214682826,Baseline,1,1
4-Methyl-1H-pyrazole hydrochloride,56010-88-9,118.56,U.S. EPA CompTox Dashboard,9.10E-08,Wambaugh 2014,1,OPERA (0.97),0,OPERA (0.45),2.97,Sipes 2017,14.18,Sipes 2017,0.78,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,1.97E-07,3.43E-07,5.45E-07,0.9078,0.9078,3.811555375,3.811555375,100,1,4.765797884,Baseline,3.811555375,100,1,4.765797884,Baseline,1,1
Metronidazole hydrochloride,69198-10-3,207.61,U.S. EPA CompTox Dashboard,1.79E-07,U.S. EPA CompTox Dashboard,0.93,OPERA (0.99),40.9,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.05,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS,0,0,2.00E-09,1.00E-08,0.1705,0.1705,4.573987168,4.573987168,100,1,5.528229678,Baseline,4.573987168,100,1,5.528229678,Baseline,1,1
Phenmetrazine hydrochloride,1707-14-8,213.71,U.S. EPA CompTox Dashboard,1.58E-07,Wambaugh 2014,0.65,OPERA (0.49),4.36,OPERA (0.53),8.39,Sipes 2017,None,Sipes 2017,1.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.11,ACD/Labs GALAS,0,1.00E-09,7.00E-09,3.70E-08,1.8067,1.105553076,3.628638719,3.628638719,100,1,4.582881228,Baseline,3.628638719,100,1,4.582881228,Baseline,1,1
1-Methyl-4-phenyl-4-propionoxypiperidine hydrochloride,4968-48-3,283.8,U.S. EPA CompTox Dashboard,2.14E-07,Wambaugh 2014,0.61,OPERA (0.59),1.91,OPERA (0.57),8.82,Sipes 2017,None,Sipes 2017,2.44,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.07,ACD/Labs GALAS,0,0,2.00E-09,1.10E-08,2.5844,1.796587604,3.052504014,3.052504014,100,1,4.006746523,Baseline,3.052504014,100,1,4.006746523,Baseline,1,1
"(-)-2,5-Dimethoxy-4-ethylamphetamine hydrochloride",42011-76-7,259.77,U.S. EPA CompTox Dashboard,3.27E-06,U.S. EPA CompTox Dashboard,0.45,OPERA (0.49),7.41,OPERA (0.6),9.84,Sipes 2017,None,Sipes 2017,2.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,2.00E-09,1.10E-08,2.9177,1.955126498,2.933059448,0.938242725,31.91336863,1.744834248,1.485138518,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability,0.938242725,31.91336863,1.744834248,1.485138518,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability,1,98.81360029
"(+)-2,5-Dimethoxy-4-ethylamphetamine hydrochloride",50505-91-4,259.77,U.S. EPA CompTox Dashboard,1.88E-06,U.S. EPA CompTox Dashboard,0.45,OPERA (0.49),7.41,OPERA (0.6),9.84,Sipes 2017,None,Sipes 2017,2.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,1.00E-09,6.00E-09,2.9177,1.955126498,2.933059448,0.704955833,57.94910085,1.286488477,1.755202381,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_TR_LUC_GH3_Antagonist_viability,0.704955833,57.94910085,1.286488477,1.755202381,TOX21_AR_LUC_MDAKB2_Antagonist_10nM_R1881_viability|TOX21_TR_LUC_GH3_Antagonist_viability,1,169.0844289
Irinotecan hydrochloride,100286-90-6,623.15,U.S. EPA CompTox Dashboard,4.95E-07,Wambaugh 2014,0.33,OPERA (0.46),25.18,OPERA (0.44),  8.94;  2.94,Sipes 2017,None,Sipes 2017,3.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.01,ACD/Labs GALAS,0,0,0,2.00E-09,3.9277,2.965126498,2.268597033,0.147131197,57.806972,4.086246399,0.407121639,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,0.147131197,57.806972,4.086246399,0.407121639,TOX21_RT_HEK293_GLO_24hr_viability|TOX21_RT_HEK293_GLO_40hr_viability,1,132.2713654
1-Methyl-3-propylimidazolium chloride,79917-89-8,162.66,U.S. EPA CompTox Dashboard,4.71E-06,U.S. EPA CompTox Dashboard,0.66,OPERA (0.45),67.14,OPERA (0.4),  8.77;  1.75,Sipes 2017,None,Sipes 2017,1,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.24,ACD/Labs GALAS,0,3.00E-09,3.20E-08,1.61E-07,1.13,0.629687083,4.083685292,4.083685292,100,1,5.037927801,Baseline,4.083685292,100,1,5.037927801,Baseline,1,1
