Compound,CAS,MW,MW_Reference,Expocast,ExpoCast_Reference,Fub,Fub_Reference,Clint,Clint_Reference,pKa_Acceptor,pKa_Acceptor_Reference,pKa_Donor,pKa_Donor_Reference,logKoa,logKoa_Reference,CNS,CNS_Reference,Neutral_Form,Neutral_Form_Reference
"1-hexylpyrrole-2,5-dione",17450-29-2,181.235,U.S. EPA CompTox Dashboard,2.65E-06,U.S. EPA CompTox Dashboard,0.65,OPERA (0.52),6.29,OPERA (0.59),3.85,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentifylline,1028-33-7,264.329,U.S. EPA CompTox Dashboard,6.74E-07,U.S. EPA CompTox Dashboard,0.73,OPERA (0.45),6.83,OPERA (0.46),2.59,Sipes 2017,None,Sipes 2017,2.33,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
JWH-019,209414-08-4,355.481,U.S. EPA CompTox Dashboard,5.39E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.76),23.87,OPERA (0.47),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.29,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"Hexylamine, N-methyl-",35161-70-7,115.22,U.S. EPA CompTox Dashboard,8.11E-06,U.S. EPA CompTox Dashboard,0.63,OPERA (0.49),2.12,OPERA (0.46),-0.64,ACD/Labs GALAS,9.16,ACD/Labs GALAS,2.42,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
Carmofur,61422-45-5,257.265,U.S. EPA CompTox Dashboard,1.72E-07,Wambaugh 2014,0.6,OPERA (0.45),16.97,OPERA (0.31),None,Sipes 2017, 10.51;  7.14,Sipes 2017,2.58,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.2,ACD/Labs GALAS
"Phenol, 4-(hexylamino)-",639478-80-1,193.29,U.S. EPA CompTox Dashboard,1.9E-06,U.S. EPA CompTox Dashboard,0.05,OPERA (0.8),46.75,OPERA (0.57),-1.04,ACD/Labs GALAS,12.97,ACD/Labs GALAS,3.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
Dihexylamine,143-16-8,185.355,U.S. EPA CompTox Dashboard,1.08E-07,Wambaugh 2014,0.3,OPERA (0.5),10.33,OPERA (0.52),10.83,Sipes 2017,None,Sipes 2017,4.88,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Hexanol,111-27-3,102.177,U.S. EPA CompTox Dashboard,3.363E-05,Wambaugh 2014,0.56,OPERA (0.49),0.96,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,1.92,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Nitric acid, hexyl ester",20633-11-8,147.174,U.S. EPA CompTox Dashboard,7.76E-06,U.S. EPA CompTox Dashboard,0.47,OPERA (0.46),274.36,OPERA (0.38),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.31,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
n-Hexyl methacrylate,142-09-6,170.252,U.S. EPA CompTox Dashboard,1.12E-07,Wambaugh 2014,0.17,OPERA (0.52),348.51,OPERA (0.4),None,Sipes 2017,None,Sipes 2017,3.9,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl isobutyrate,2349-07-07,172.268,U.S. EPA CompTox Dashboard,0.000492,U.S. EPA CompTox Dashboard,0.14,OPERA (0.56),318.26,OPERA (0.47),None,Sipes 2017,None,Sipes 2017,3.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl 2-methylbutanoate,10032-15-2,186.295,U.S. EPA CompTox Dashboard,1.5E-07,Wambaugh 2014,0.14,OPERA (0.56),263.4,OPERA (0.46),None,Sipes 2017,None,Sipes 2017,4.07,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl acrylate,2499-95-8,156.225,U.S. EPA CompTox Dashboard,1.71E-07,Wambaugh 2014,0.29,OPERA (0.38),303.9,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,3.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dihexyl phthalate,84-75-3,334.456,U.S. EPA CompTox Dashboard,5.12E-07,Wambaugh 2014,0.325334237,Wambaugh 2019,50.46666667,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,6.95,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl salicylate,6259-76-3,222.284,U.S. EPA CompTox Dashboard,3.507E-05,Wambaugh 2014,0.11,OPERA (0.65),191.4,Paini 2020,None,Sipes 2017,4.41,Sipes 2017,4.85,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
n-Hexyl vanillate,84375-71-3,252.31,U.S. EPA CompTox Dashboard,3.09E-06,U.S. EPA CompTox Dashboard,0.15,OPERA (0.68),63.35,OPERA (0.51),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.5,ACD/Labs GALAS
Hexylparaben,1083-27-8,222.284,U.S. EPA CompTox Dashboard,1.59E-07,Wambaugh 2014,0.14,OPERA (0.67),71.57,OPERA (0.62),None,Sipes 2017,8.96,Sipes 2017,4.29,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.93,ACD/Labs GALAS
Hexyl benzoate,6789-88-4,206.285,U.S. EPA CompTox Dashboard,1.3E-07,Wambaugh 2014,0.09,OPERA (0.66),219.55,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,4.77,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl methyl phthalate,3461-23-2,264.321,U.S. EPA CompTox Dashboard,6.22E-06,U.S. EPA CompTox Dashboard,0.1,OPERA (0.71),204.62,OPERA (0.6),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.51,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl nicotinate,23597-82-2,207.273,U.S. EPA CompTox Dashboard,2.67E-08,Wambaugh 2014,0.35,OPERA (0.36),197.21,OPERA (0.45),3.34,Sipes 2017,None,Sipes 2017,3.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl propanoate,2445-76-3,158.241,U.S. EPA CompTox Dashboard,1.33E-07,Wambaugh 2014,0.16,OPERA (0.54),377.37,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butyryl-n-trihexylcitrate,82469-79-2,514.7,U.S. EPA CompTox Dashboard,3.636E-06,Wambaugh 2014,0.02,OPERA (0.7),99.51,OPERA (0.28),None,Sipes 2017,None,Sipes 2017,11.17,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,2,3-Propanetricarboxylic acid, 2-hydroxy-, trihexyl ester",16544-70-0,444.609,U.S. EPA CompTox Dashboard,8.77E-07,U.S. EPA CompTox Dashboard,0.05,OPERA (0.67),86.37,OPERA (0.28),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.87,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl butyrate,2639-63-6,172.268,U.S. EPA CompTox Dashboard,1.61E-06,Wambaugh 2014,0.05,OPERA (0.73),329.12,OPERA (0.48),None,Sipes 2017,None,Sipes 2017,3.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexaminolevulinate,140898-97-1,215.293,U.S. EPA CompTox Dashboard,1.5E-06,U.S. EPA CompTox Dashboard,0.72,OPERA (0.42),5.41,OPERA (0.47),0.8,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.23,ACD/Labs GALAS
Hexyl hexanoate,6378-65-0,200.322,U.S. EPA CompTox Dashboard,1.34E-07,Wambaugh 2014,0.12,OPERA (0.58),277.81,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,4.59,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dihexyl hexanedioate,110-33-8,314.466,U.S. EPA CompTox Dashboard,2.92E-07,Wambaugh 2014,0.12,OPERA (0.51),47.96,OPERA (0.5),None,Sipes 2017,None,Sipes 2017,6.34,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dihexyl nonanedioate,109-31-9,356.547,U.S. EPA CompTox Dashboard,4.12E-07,Wambaugh 2014,0.02,OPERA (0.77),12.16,OPERA (0.4),None,Sipes 2017,None,Sipes 2017,7.57,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,1,ACD/Labs GALAS
Hexyl acetate,142-92-7,144.214,U.S. EPA CompTox Dashboard,3.755E-06,Wambaugh 2014,0.21,OPERA (0.53),393.15,OPERA (0.49),None,Sipes 2017,None,Sipes 2017,2.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Isopropoxyhexane,18636-65-2,144.258,U.S. EPA CompTox Dashboard,1.01E-05,U.S. EPA CompTox Dashboard,0.37,OPERA (0.5),8.61,OPERA (0.26),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Carbonochloridic acid, hexyl ester",6092-54-2,164.63,U.S. EPA CompTox Dashboard,5.34E-06,U.S. EPA CompTox Dashboard,0.06,OPERA (0.73),155.45,OPERA (0.34),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.57,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1-O-Hexyl-2,3,5-trimethylhydroquinone",148081-72-5,236.355,U.S. EPA CompTox Dashboard,1.64E-07,Wambaugh 2014,0.02,OPERA (0.79),15.91,OPERA (0.56),None,Sipes 2017,11.24,Sipes 2017,4.83,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
4-Hexyloxyaniline,39905-57-2,193.29,U.S. EPA CompTox Dashboard,1.49E-07,Wambaugh 2014,0.0275,Wambaugh 2019,89.8,Wambaugh 2019,5.1,Wambaugh 2019,None,Sipes 2017,3.4,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.99,ACD/Labs GALAS
4-(Hexyloxy)phenol,18979-55-0,194.274,U.S. EPA CompTox Dashboard,1.42E-07,Wambaugh 2014,0.00639,Wambaugh 2019,213.4,Wambaugh 2019,None,Sipes 2017,9.93,Wambaugh 2019,3.97,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Exalamide,53370-90-4,221.3,U.S. EPA CompTox Dashboard,1.5E-07,Wambaugh 2014,0.22,OPERA (0.57),4.49,OPERA (0.54),None,Sipes 2017,11.6,Sipes 2017,3.53,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Ethoxyhexane,5756-43-4,130.231,U.S. EPA CompTox Dashboard,1.82E-06,U.S. EPA CompTox Dashboard,0.42,OPERA (0.5),0.64,OPERA (0.72),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Hexane, 1,1'-oxybis-",112-58-3,186.339,U.S. EPA CompTox Dashboard,1.78E-05,U.S. EPA CompTox Dashboard,0.16,OPERA (0.56),2.88,OPERA (0.38),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.98,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-Hexyloxyethanol,112-25-4,146.23,U.S. EPA CompTox Dashboard,3.38E-07,Wambaugh 2014,0.48,OPERA (0.48),12.48,OPERA (0.24),None,Sipes 2017,None,Sipes 2017,1.86,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
2-[2-(Hexyloxy)ethoxy]ethanol,112-59-4,190.283,U.S. EPA CompTox Dashboard,6.14E-08,Wambaugh 2014,0.46,OPERA (0.47),49.35,OPERA (0.23),None,Sipes 2017,None,Sipes 2017,1.5,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Ethanol, 2-[2-[2-(hexyloxy)ethoxy]ethoxy]-",25961-89-1,234.336,U.S. EPA CompTox Dashboard,2.95E-05,U.S. EPA CompTox Dashboard,0.59,OPERA (0.44),105.84,OPERA (0.28),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.14,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Hexanethiol,111-31-9,118.24,U.S. EPA CompTox Dashboard,8.47E-06,U.S. EPA CompTox Dashboard,0.25,OPERA (0.51),0.68,OPERA (0.72),None,Sipes 2017,9.99,Sipes 2017,3.35,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
hexanesulfonic acid,13595-73-8,166.24,U.S. EPA CompTox Dashboard,3.63E-06,U.S. EPA CompTox Dashboard,0.27,OPERA (0.47),1.22,OPERA (0.41),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.41,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"Pentane, 1-fluoro-",592-50-7,90.141,U.S. EPA CompTox Dashboard,3.03E-06,U.S. EPA CompTox Dashboard,0.66,OPERA (0.49),0.98,OPERA (0.64),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.46,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Pentane, 1-iodo-",628-17-1,198.047,U.S. EPA CompTox Dashboard,2.59E-06,U.S. EPA CompTox Dashboard,0.2,OPERA (0.53),0.71,OPERA (0.73),3.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.56,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Chlorobutane,109-69-3,92.57,U.S. EPA CompTox Dashboard,3.82E-08,Wambaugh 2014,0.73,OPERA (0.54),7.38,OPERA (0.65),None,Sipes 2017,None,Sipes 2017,2.36,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentan-1-amine,110-58-7,87.166,U.S. EPA CompTox Dashboard,9.84E-05,U.S. EPA CompTox Dashboard,0.68,OPERA (0.5),0.96,OPERA (0.58),7.6,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.55,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Amyl-N-methylnitrosamine,13256-07-0,130.191,U.S. EPA CompTox Dashboard,5.42E-06,U.S. EPA CompTox Dashboard,0.64,OPERA (0.46),46.73,OPERA (0.55),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.37,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Lorglumide,97964-56-2,459.41,U.S. EPA CompTox Dashboard,1.46E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.72),5.63,OPERA (0.51),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,5.88,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Dipentylnitrosamine,13256-06-9,186.299,U.S. EPA CompTox Dashboard,6.53E-06,U.S. EPA CompTox Dashboard,0.35,OPERA (0.51),17.76,OPERA (0.58),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.61,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Loxiglumide,107097-80-3,461.38,U.S. EPA CompTox Dashboard,2.32E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.92),0,OPERA (0.57),None,Sipes 2017,"4.05,14.44",Strope 2018,4.25,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
"2,5-Pyrrolidinedione, 1-pentyl- (9CI)",5332-35-4,169.224,U.S. EPA CompTox Dashboard,2.92E-06,U.S. EPA CompTox Dashboard,0.64,OPERA (0.53),14.73,OPERA (0.67),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.18,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
JWH-122,619294-47-2,355.481,U.S. EPA CompTox Dashboard,2.13E-07,U.S. EPA CompTox Dashboard,0.01,OPERA (0.77),0,OPERA (0.4),5.9,ACD/Labs GALAS,#NV,ACD/Labs GALAS,7.26,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
UR-144,1199943-44-6,311.469,U.S. EPA CompTox Dashboard,1.63E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.77),20.16,OPERA (0.53),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,6.28,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-pentylindole,59529-21-4,187.286,U.S. EPA CompTox Dashboard,5.13E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.79),33.46,OPERA (0.66),11.1,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.67,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"8-Chloro-3-pentyl-3,7-dihydro-1H-purine-2,6-dione",862892-90-8,256.69,U.S. EPA CompTox Dashboard,1.77E-07,U.S. EPA CompTox Dashboard,0.82,OPERA (0.45),9.74,OPERA (0.32),-1.92,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.99,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
N-Amylurea,38869-91-9,130.191,U.S. EPA CompTox Dashboard,1.45E-06,U.S. EPA CompTox Dashboard,0.76,OPERA (0.49),7.49,OPERA (0.29),1.35,ACD/Labs GALAS,#NV,ACD/Labs GALAS,1.17,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Milacemide,76990-56-2,144.218,U.S. EPA CompTox Dashboard,5.55E-07,U.S. EPA CompTox Dashboard,0.94,OPERA (0.72),0.2,OPERA (0.61),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0.68,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.09,ACD/Labs GALAS
Dipentylamine,2050-92-2,157.301,U.S. EPA CompTox Dashboard,1.57E-07,Wambaugh 2014,0.49,OPERA (0.57),4.63,OPERA (0.49),10.67,Sipes 2017,None,Sipes 2017,3.82,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
1-Pentanol,71-41-0,88.15,U.S. EPA CompTox Dashboard,2.707E-05,Wambaugh 2014,0.79,OPERA (0.67),0.97,OPERA (0.63),None,Sipes 2017,None,Sipes 2017,1.6,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Amyl nitrate,1002-16-0,133.147,U.S. EPA CompTox Dashboard,7.54E-06,U.S. EPA CompTox Dashboard,0.64,OPERA (0.46),281.72,OPERA (0.38),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.68,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Ether, methyl pentyl",628-80-8,102.177,U.S. EPA CompTox Dashboard,6.24E-06,U.S. EPA CompTox Dashboard,0.67,OPERA (0.55),0.73,OPERA (0.72),3.12,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.04,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Propanoic acid, 2-methyl-, pentyl ester",2445-72-9,158.241,U.S. EPA CompTox Dashboard,1.29E-05,U.S. EPA CompTox Dashboard,0.06,OPERA (0.72),387.04,OPERA (0.49),7.25,ACD/Labs GALAS,14.02,ACD/Labs GALAS,3.1,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Dipentyl phthalate,131-18-0,306.402,U.S. EPA CompTox Dashboard,2.813E-06,Wambaugh 2014,0.116133333,Wambaugh 2019,550,Wambaugh 2019,None,Sipes 2017,None,Sipes 2017,5.89,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentyl 2-hydroxybenzoate,2050-08-0,208.257,U.S. EPA CompTox Dashboard,4.78E-06,U.S. EPA CompTox Dashboard,0.14,OPERA (0.66),99.37,OPERA (0.55),10.5,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.21,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentylparaben,6521-29-5,208.257,U.S. EPA CompTox Dashboard,1.47E-07,Wambaugh 2014,0.13,OPERA (0.69),63.48,OPERA (0.67),None,Sipes 2017,8.88,Sipes 2017,3.66,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.93,ACD/Labs GALAS
Pentyl benzoate,2049-96-9,192.258,U.S. EPA CompTox Dashboard,1.51E-05,U.S. EPA CompTox Dashboard,0.13,OPERA (0.67),323.39,OPERA (0.49),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.18,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"1,2-Benzenedicarboxylic acid, monopentyl ester",24539-56-8,236.267,U.S. EPA CompTox Dashboard,1.87E-06,U.S. EPA CompTox Dashboard,0.19,OPERA (0.65),2.82,OPERA (0.57),10.79,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.26,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0,ACD/Labs GALAS
Biomer,61789-63-7,765.948,U.S. EPA CompTox Dashboard,1.55E-07,U.S. EPA CompTox Dashboard,0.02,OPERA (0.7),13.55,OPERA (0.56),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,11.67,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,1,ACD/Labs GALAS
n-Amyl butyrate,540-18-1,158.241,U.S. EPA CompTox Dashboard,1.2E-05,Wambaugh 2014,0.16,OPERA (0.54),223.6,OPERA (0.38),None,Sipes 2017,None,Sipes 2017,3.15,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentyl valerate,2173-56-0,172.268,U.S. EPA CompTox Dashboard,1.39E-07,Wambaugh 2014,0.16,OPERA (0.54),238.28,OPERA (0.43),None,Sipes 2017,None,Sipes 2017,3.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
n-Amyl caproate,540-07-8,186.295,U.S. EPA CompTox Dashboard,1.15E-07,Wambaugh 2014,0.22,OPERA (0.49),233.8,OPERA (0.44),None,Sipes 2017,None,Sipes 2017,4.23,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Flumiclorac-pentyl,87546-18-7,423.87,U.S. EPA CompTox Dashboard,1.53E-07,Wambaugh 2014,0.02,OPERA (0.72),650.6666667,Wambaugh 2019,1,Wambaugh 2019,None,Sipes 2017,4.27,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Capecitabine,154361-50-9,359.354,U.S. EPA CompTox Dashboard,2.3E-07,Wambaugh 2014,0.7,OPERA (0.94),5.12,OPERA (0.49),0.11,Sipes 2017,9.73,Sipes 2017,0.97,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0.99,ACD/Labs GALAS
Pentyl acetate,628-63-7,130.187,U.S. EPA CompTox Dashboard,2.896E-05,Wambaugh 2014,0.42,OPERA (0.49),98.98,OPERA (0.29),None,Sipes 2017,None,Sipes 2017,2.52,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Neticonazole,130726-68-0,302.44,U.S. EPA CompTox Dashboard,1.41E-06,U.S. EPA CompTox Dashboard,0.14,OPERA (0.65),6.97,OPERA (0.57),5.47,Sipes 2017,None,Sipes 2017,4.86,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0.54,ACD/Labs GALAS
"[1,1'-Biphenyl]-4-carbonitrile, 4'-(pentyloxy)-",52364-71-3,265.356,U.S. EPA CompTox Dashboard,1.31E-06,U.S. EPA CompTox Dashboard,0.02,OPERA (0.77),73.47,OPERA (0.45),5.8,ACD/Labs GALAS,#NV,ACD/Labs GALAS,5.27,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Risarestat,79714-31-1,323.41,U.S. EPA CompTox Dashboard,2.26E-07,Wambaugh 2014,0.01,OPERA (0.76),12.93,OPERA (0.62),None,Sipes 2017,7.03,Sipes 2017,3.27,ACD/Labs Consensus logP,Weak penetrant,ACD/Labs,0.98,ACD/Labs GALAS
Allylpentyl ether,23186-70-1,128.215,U.S. EPA CompTox Dashboard,9.8E-06,U.S. EPA CompTox Dashboard,0.35,OPERA (0.46),14,OPERA (0.21),8.9,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.87,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentyl ether,693-65-2,158.285,U.S. EPA CompTox Dashboard,8.49E-06,U.S. EPA CompTox Dashboard,0.25,OPERA (0.52),2.58,OPERA (0.39),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,4.16,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentyl nitrite,463-04-7,117.148,U.S. EPA CompTox Dashboard,1.62E-08,Wambaugh 2014,0.69,OPERA (0.45),67.36,OPERA (0.25),None,Sipes 2017,None,Sipes 2017,2.33,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Pentylhydroperoxide,74-80-6,104.149,U.S. EPA CompTox Dashboard,3.66E-06,U.S. EPA CompTox Dashboard,0.67,OPERA (0.54),9.38,OPERA (0.22),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2.27,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Pentanesulfonic acid,35452-30-3,152.21,U.S. EPA CompTox Dashboard,1.85E-06,U.S. EPA CompTox Dashboard,0.46,OPERA (0.35),4.16,OPERA (0.42),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,0,ACD/Labs Consensus logP,Non-penetrant,ACD/Labs,0,ACD/Labs GALAS
Pentyl sulfide,872-10-6,174.35,U.S. EPA CompTox Dashboard,1.27E-07,Wambaugh 2014,0.07,OPERA (0.75),1.51,OPERA (0.42),None,Sipes 2017,None,Sipes 2017,4.9,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
"Butane, 1-iodo-",542-69-8,184.02,U.S. EPA CompTox Dashboard,1.5E-06,U.S. EPA CompTox Dashboard,0.42,OPERA (0.48),7.36,OPERA (0.62),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,3.09,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
1-Chloropropane,540-54-5,78.54,U.S. EPA CompTox Dashboard,2.76E-06,U.S. EPA CompTox Dashboard,0.7,OPERA (0.65),7.75,OPERA (0.65),#NV,ACD/Labs GALAS,#NV,ACD/Labs GALAS,2,ACD/Labs Consensus logP,Penetrant,ACD/Labs,1,ACD/Labs GALAS
Butylamine,109-73-9,73.139,U.S. EPA CompTox Dashboard,2.49E-08,Wambaugh 2014,0.84,OPERA (0.58),0.97,OPERA (0.58),10.45,Sipes 2017,None,Sipes 2017,0.93,ACD/Labs Consensus logP,Penetrant,ACD/Labs,0,ACD/Labs GALAS
